"topic","term","beta"
1,"menschen",0.033267713410278
1,"stärken",0.0283462191811269
1,"unterstützen",0.0192176411754433
1,"gesellschaft",0.0135023575544936
1,"fördern",0.0135023575544936
1,"leben",0.0134229786153138
1,"bildung",0.0123910524059756
1,"gilt",0.0103271999872994
1,"kultur",0.00961278953468066
1,"deutsche",0.00881900014288209
2,"bürger",0.0124646284448819
2,"nutzen",0.012080155019685
2,"dabei",0.00977331446850394
2,"digitalisierung",0.00931194635826771
2,"digitale",0.00923505167322835
2,"versorgung",0.00900436761811024
2,"digitalen",0.0083123154527559
2,"bund",0.0083123154527559
2,"kommunen",0.00815852608267716
2,"beispiel",0.00792784202755906
3,"unternehmen",0.019054345755825
3,"zukunft",0.0156418640086344
3,"ziel",0.0147689035616786
3,"entwicklung",0.0142927433178846
3,"wirtschaft",0.0141340232366199
3,"brauchen",0.0127849025458701
3,"schaffen",0.0123087423020761
3,"gute",0.0115151418957526
3,"forschung",0.0104834613675322
3,"wohlstand",0.00913434067678243
4,"euro",0.0132599125653095
4,"staat",0.012269798473701
4,"lehnen",0.0113558470045241
4,"darf",0.0106703834026413
4,"fordern",0.00937561882130725
4,"deren",0.00838550472969886
4,"maßnahmen",0.00800469161754177
4,"fordert",0.00792852899511036
4,"insbesondere",0.00770004112781611
4,"recht",0.00770004112781611
5,"kinder",0.0179869495807436
5,"familien",0.0151195771788155
5,"sollen",0.0127171840853082
5,"verbessern",0.0122522047768874
5,"arbeit",0.00915234272074893
5,"erhalten",0.00891985306653854
5,"deutlich",0.00814488755250391
5,"eltern",0.0077574047954866
5,"viele",0.0077574047954866
5,"frauen",0.00760241169267967
6,"europa",0.0239805780909907
6,"europäischen",0.0190337752477207
6,"sicherheit",0.0174355774060488
6,"welt",0.0123365652445243
6,"schutz",0.0117277279715064
6,"europäische",0.0113472046758703
6,"verantwortung",0.0111949953576158
6,"zusammenarbeit",0.0110427860393613
6,"dabei",0.00959679751594393
6,"deutschlands",0.00921627422030777
